title,size_mib,year,folder_path,rep_video_path,size_bytes,reason,tokens,flagged_count,yts_title,yts_year,yts_url,yts_quality_available,yts_next_quality,magnet
Chronicle,699.90,2012,/Volumes/Extreme SSD/Movies/Chronicle.2012.DVDRip.XviD-SPARKS,/Volumes/Extreme SSD/Movies/Chronicle.2012.DVDRip.XviD-SPARKS/sparks-chronicle-xvid.avi,733898752,tiny<700MiB;tokens,XviD,1,Chronicle,2012,https://yts.mx/movies/chronicle-2012,1080p.bluray|720p.bluray,1080p,magnet:?xt=urn:btih:A51CA799FAE92A8CF7F09A8C8218869DBAA356AE&dn=Chronicle.1080p.bluray
Closer,699.95,2004,/Volumes/Extreme SSD/Movies/Closer (2004),/Volumes/Extreme SSD/Movies/Closer (2004)/Closer (2004).avi,733954048,tiny<700MiB,,1,Closer,2004,https://yts.mx/movies/closer-2004,1080p.bluray|720p.bluray,1080p,magnet:?xt=urn:btih:176EF0DF8B82D20D3F0F5FA741DAE494D4BB9654&dn=Closer.1080p.bluray
Cloverfield,699.67,,/Volumes/Extreme SSD/Movies/Cloverfield,/Volumes/Extreme SSD/Movies/Cloverfield/Cloverfield[2008]DvDrip.AC3[Eng]-aXXo.avi,733655040,tiny<700MiB;tokens,DVDRip,1,Cloverfield,2008,https://yts.mx/movies/cloverfield-2008,1080p.bluray|2160p.bluray|720p.bluray,2160p,magnet:?xt=urn:btih:577361BFCA9493AC3704BE690C70CDDADB5FF612&dn=Cloverfield.2160p.bluray
Con Air,0.00,,/Volumes/Extreme SSD/Movies/Con Air,/Volumes/Extreme SSD/Movies/Con Air/._Con Air.AVI,4096,tiny<700MiB,,2,Con Air,1997,https://yts.mx/movies/con-air-1997,1080p.bluray|2160p.web|720p.bluray,1080p,magnet:?xt=urn:btih:80C007B0B381318719D07E815F3FCBCC8E73674F&dn=Con%20Air.1080p.bluray
Confessions of a Dangerous Mind,694.00,,/Volumes/Extreme SSD/Movies/Confessions of a Dangerous Mind,/Volumes/Extreme SSD/Movies/Confessions of a Dangerous Mind/Confessions of a Dangerous Mind.avi,727707648,tiny<700MiB,,1,Confessions of a Dangerous Mind,2002,https://yts.mx/movies/confessions-of-a-dangerous-mind-2002,1080p.bluray|720p.bluray,1080p,magnet:?xt=urn:btih:5F803C0D541CBAA57CDFAA330CC28B5377A6D946&dn=Confessions%20of%20a%20Dangerous%20Mind.1080p.bluray
Contagion,699.97,2011,/Volumes/Extreme SSD/Movies/Contagion.2011.DVDRip.XviD-AMIABLE,/Volumes/Extreme SSD/Movies/Contagion.2011.DVDRip.XviD-AMIABLE/contagion.2011.dvdrip.xvid-amiable.avi,733972480,tiny<700MiB;tokens,DVDRip|XviD,1,Contagion,2011,https://yts.mx/movies/contagion-2011,1080p.bluray|2160p.web|720p.bluray,1080p,magnet:?xt=urn:btih:5B075D0A44AA4B8BFB90A36AF99EEE80AB3D24DE&dn=Contagion.1080p.bluray
Conviction,699.83,,/Volumes/Extreme SSD/Movies/Conviction[2010]BRRip XviD-ExtraTorrentRG,/Volumes/Extreme SSD/Movies/Conviction[2010]BRRip XviD-ExtraTorrentRG/Conviction[2010]BRRip XviD-ExtraTorrentRG.avi,733827072,tiny<700MiB;tokens,XviD,1,Conviction,2018,https://yts.mx/movies/conviction-2018,1080p.bluray|720p.bluray,1080p,magnet:?xt=urn:btih:536F6F7463B671D1742FE263BBDFD1578FCA749C&dn=Conviction.1080p.bluray
Crank,698.75,,/Volumes/Extreme SSD/Movies/Crank,/Volumes/Extreme SSD/Movies/Crank/Crank[2006]DvDrip[Eng]-aXXo.avi,732696576,tiny<700MiB;tokens,DVDRip,1,Crank,2006,https://yts.mx/movies/crank-2006,1080p.bluray|2160p.bluray|720p.bluray,1080p,magnet:?xt=urn:btih:0C4DBD147A2CC5CFDDEA7CD9012AB9B59C5D02E3&dn=Crank.1080p.bluray
Crazy Heart,699.20,,/Volumes/Extreme SSD/Movies/Crazy Heart[2009]DvDrip[Eng]-FXG,/Volumes/Extreme SSD/Movies/Crazy Heart[2009]DvDrip[Eng]-FXG/Crazy Heart[2009]DvDrip[Eng]-FXG.avi,733163520,tiny<700MiB;tokens,DVDRip,1,Crazy Heart,2009,https://yts.mx/movies/crazy-heart-2009,1080p.bluray|720p.bluray,1080p,magnet:?xt=urn:btih:5EFBC0127226957CA60C123C3B0DBBFD069062F0&dn=Crazy%20Heart.1080p.bluray
Cruel Intentions,699.37,,/Volumes/Extreme SSD/Movies/CRUEL INTENTIONS/Cruel Intentions,/Volumes/Extreme SSD/Movies/CRUEL INTENTIONS/Cruel Intentions/Cruel Intentions [Eng][DVDRip][Xvid][1999][www.Torrent-Talk.com].avi,733339648,tiny<700MiB;tokens,DVDRip|XviD,1,Cruel Intentions,1999,https://yts.mx/movies/cruel-intentions-1999,1080p.bluray|720p.bluray,1080p,magnet:?xt=urn:btih:A64213586ECD9CA0442B5A726C4B883ECE50BD3E&dn=Cruel%20Intentions.1080p.bluray
Der Untergang (Downfall),695.66,2004,/Volumes/Extreme SSD/Movies/Der Untergang (Downfall)(2004),/Volumes/Extreme SSD/Movies/Der Untergang (Downfall)(2004)/Der Untergang (Downfall) EngSub2.avi,729456640,tiny<700MiB,,2,,,,,,
